age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,age_group
29,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,<=50K,20-29
25,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,<=50K,20-29
43,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,40-49
35,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,40,Puerto-Rico,<=50K,30-39
41,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,<=50K,40-49
48,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,40-49
42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,40-49
36,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,30-39
28,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,20-29
53,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,50-59
49,Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,40-49
25,,200681,Some-college,10,Never-married,,Own-child,White,Male,40,United-States,<=50K,20-29
31,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,40,United-States,<=50K,30-39
23,Private,211678,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,20-29
27,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,White,Male,40,Mexico,<=50K,20-29
40,Private,32214,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,30-39
52,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,40,Cuba,<=50K,50-59
46,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,<=50K,40-49
59,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,<=50K,50-59
53,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Female,35,United-States,<=50K,50-59
49,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,40-49
33,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,30-39
30,Private,54334,9th,5,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,20-29
43,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,40-49
57,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,50-59
37,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K,30-39
34,Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,30-39
29,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,<=50K,20-29
37,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,>50K,30-39
48,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,40,England,<=50K,40-49
32,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,40,United-States,<=50K,30-39
76,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,70-79
47,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K,40-49
20,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,10-19
29,Private,103432,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,20-29
30,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,20-29
31,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,30-39
42,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,40-49
38,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,30-39
36,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K,30-39
53,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,<=50K,50-59
56,Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,50-59
49,Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K,40-49
22,Private,102632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,<=50K,20-29
21,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,20-29
30,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,<=50K,20-29
29,State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,20-29
19,Private,301606,Some-college,10,Never-married,Other-service,Own-child,Black,Male,35,United-States,<=50K,10-19
47,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K,40-49
31,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,30-39
35,,129305,HS-grad,9,Married-civ-spouse,,Husband,White,Male,40,United-States,<=50K,30-39
39,Private,365739,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,30-39
37,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,30-39
46,Private,146195,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,<=50K,40-49
38,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Iran,>50K,30-39
27,Private,163127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K,20-29
49,Private,81973,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,>50K,40-49
61,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,60-69
27,Private,232782,Some-college,10,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,20-29
70,Private,105376,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,40,United-States,<=50K,60-69
43,,174662,Some-college,10,Divorced,,Not-in-family,White,Female,40,United-States,<=50K,40-49
47,Local-gov,186009,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,<=50K,40-49
34,Private,198183,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,30-39
33,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,<=50K,30-39
21,Private,296158,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,35,United-States,<=50K,20-29
52,,252903,HS-grad,9,Divorced,,Not-in-family,White,Male,45,United-States,>50K,50-59
48,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,<=50K,40-49
23,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,20-29
42,Private,228456,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,50,United-States,<=50K,40-49
25,Private,252752,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,<=50K,20-29
44,Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,<=50K,40-49
28,Private,88419,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,<=50K,20-29
45,Self-emp-not-inc,201080,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,40-49
36,Private,207157,Some-college,10,Divorced,Other-service,Unmarried,White,Female,40,Mexico,<=50K,30-39
39,Federal-gov,235485,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,<=50K,30-39
46,State-gov,102628,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,<=50K,40-49
28,State-gov,175325,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,20-29
28,State-gov,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,20-29
21,Private,312956,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K,20-29
44,Local-gov,181344,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,>50K,40-49
43,Private,114580,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,40-49
37,Federal-gov,29054,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,>50K,30-39
34,Private,304030,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,<=50K,30-39
41,Self-emp-not-inc,143129,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,40-49
53,,135105,Bachelors,13,Divorced,,Not-in-family,White,Female,50,United-States,<=50K,50-59
31,Private,99928,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,<=50K,30-39
24,Private,159567,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,20-29
47,Private,120939,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,<=50K,40-49
36,Private,99374,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,30-39
24,Self-emp-not-inc,32921,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,20-29
19,,170653,HS-grad,9,Never-married,,Own-child,White,Male,40,Italy,<=50K,10-19
51,Private,259323,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,50-59
37,State-gov,48211,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K,30-39
18,Private,140164,11th,7,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,10-19
44,Local-gov,160943,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K,40-49
37,Private,208358,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,30-39
35,Private,153790,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,<=50K,30-39
60,Private,85815,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,<=50K,50-59
50,Private,313321,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K,40-49
38,Private,182609,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,Poland,<=50K,30-39
25,Private,255004,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,20-29
31,Private,197860,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,30-39
18,Private,243313,HS-grad,9,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,10-19
65,Private,176796,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,60-69
41,Private,130408,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,38,United-States,<=50K,40-49
25,Private,159732,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,<=50K,20-29
33,Private,110978,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,<=50K,30-39
59,State-gov,268700,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,50-59
40,State-gov,170525,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,<=50K,30-39
41,Private,180138,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Iran,>50K,40-49
23,Private,115458,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K,20-29
40,Private,347890,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,30-39
24,State-gov,273905,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,<=50K,20-29
56,Private,203580,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,,<=50K,50-59
58,Private,236596,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,>50K,50-59
32,Private,183916,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,34,United-States,<=50K,30-39
45,Private,153141,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,,<=50K,40-49
41,Private,112763,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K,40-49
42,Private,390781,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,<=50K,40-49
19,Local-gov,27382,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,10-19
42,Self-emp-not-inc,303044,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Cambodia,>50K,40-49
20,Private,117789,HS-grad,9,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,10-19
45,Private,187666,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K,40-49
36,Private,150042,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,30-39
26,Private,378322,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,20-29
64,Private,21174,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,60-69
33,Private,185480,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,<=50K,30-39
33,Private,222205,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,40,United-States,>50K,30-39
61,Private,69867,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,60-69
27,Local-gov,209109,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,35,United-States,<=50K,20-29
30,Private,70377,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,20-29
35,Private,190174,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,30-39
25,Private,193787,Some-college,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,20-29
34,Private,175413,Assoc-acdm,12,Divorced,Sales,Unmarried,Black,Female,45,United-States,<=50K,30-39
60,Private,173960,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,42,United-States,<=50K,50-59
21,Private,205759,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,20-29
50,Private,176609,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,45,United-States,<=50K,40-49
25,Private,371987,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,20-29
36,Private,200352,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,<=50K,30-39
31,Private,127595,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,30-39
21,Private,231931,Some-college,10,Never-married,Sales,Own-child,White,Male,45,United-States,<=50K,20-29
27,Private,248402,Bachelors,13,Never-married,Tech-support,Unmarried,Black,Female,40,United-States,<=50K,20-29
24,Private,278130,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,20-29
31,Private,217460,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,>50K,30-39
24,Private,303296,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,40,Laos,<=50K,20-29
43,Private,173321,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,40-49
26,Private,193945,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,45,United-States,<=50K,20-29
46,Private,83082,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,33,United-States,<=50K,40-49
35,Private,193815,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,30-39
26,Private,59306,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,20-29
36,Self-emp-not-inc,205607,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,40,United-States,>50K,30-39
24,Private,191954,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,20-29
77,Self-emp-not-inc,138714,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,70-79
39,Self-emp-not-inc,174308,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,30-39
35,Private,186110,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,45,United-States,<=50K,30-39
29,Private,200381,11th,7,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,20-29
63,Self-emp-not-inc,78383,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,United-States,<=50K,60-69
58,Self-emp-not-inc,321171,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,50-59
41,Private,206565,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,<=50K,40-49
26,Private,224563,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,20-29
47,Private,178686,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,40-49
55,Local-gov,98545,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,50-59
53,Private,242606,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,50-59
30,Private,94235,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,40,United-States,<=50K,20-29
45,Private,261192,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,40,United-States,<=50K,40-49
26,Private,94936,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,20-29
22,State-gov,293364,Some-college,10,Never-married,Protective-serv,Own-child,Black,Female,40,United-States,<=50K,20-29
43,Self-emp-not-inc,241895,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,42,United-States,<=50K,40-49
30,,151989,Assoc-voc,11,Divorced,,Unmarried,White,Female,40,United-States,<=50K,20-29
33,Private,117963,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,30-39
26,Private,192262,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,20-29
33,Private,111363,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,30-39
59,,372020,Bachelors,13,Married-civ-spouse,,Husband,White,Male,40,United-States,>50K,50-59
38,Federal-gov,95432,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,30-39
65,Private,161400,11th,7,Widowed,Other-service,Unmarried,Other,Male,40,United-States,<=50K,60-69
40,Private,96129,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,30-39
42,Private,111949,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K,40-49
26,Self-emp-not-inc,117125,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Portugal,<=50K,20-29
62,Private,270092,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,60-69
43,Private,180609,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K,40-49
28,Private,92262,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,20-29
56,Self-emp-not-inc,183081,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,<=50K,50-59
57,Private,212448,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,45,United-States,>50K,50-59
40,State-gov,184018,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,>50K,30-39
45,Private,256649,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K,40-49
44,Private,160323,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,40,United-States,<=50K,40-49
33,Private,267404,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,40,United-States,<=50K,30-39
23,Private,35633,Some-college,10,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,20-29
38,Private,172927,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,30-39
54,Private,174319,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,50-59
25,Private,344991,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,20-29
46,Private,108699,Some-college,10,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K,40-49
36,Local-gov,117312,Some-college,10,Married-civ-spouse,Transport-moving,Wife,White,Female,40,United-States,<=50K,30-39
29,Private,134152,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,20-29
19,Private,232392,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,40,United-States,<=50K,10-19
35,Private,220098,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,>50K,30-39
27,Private,301302,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,20-29
46,Self-emp-not-inc,277946,Assoc-acdm,12,Separated,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,40-49
34,Private,196164,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,35,United-States,<=50K,30-39
44,Private,115562,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K,40-49
45,Private,96975,Some-college,10,Divorced,Handlers-cleaners,Unmarried,White,Female,40,United-States,<=50K,40-49
20,,137300,HS-grad,9,Never-married,,Other-relative,White,Female,35,United-States,<=50K,10-19
52,Self-emp-inc,132178,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,50-59
20,Private,416103,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,10-19
28,Private,108574,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K,20-29
50,State-gov,288353,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,40-49
28,Private,110145,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,20-29
32,Private,364657,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K,30-39
24,Private,241951,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,40,United-States,<=50K,20-29
33,Private,118500,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,30-39
35,Private,92440,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,>50K,30-39
34,Local-gov,243867,11th,7,Separated,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,<=50K,30-39
34,State-gov,240283,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Female,40,United-States,<=50K,30-39
